artist,title,spotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8.0,-5.52,1.0,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493.0,4.0
Rosalia & Rauw Alejandro,Beso,nan,,,,,,,,,,,,,,,,,,
Ed Sheeran,Eyes Closed,07bsRv0pcpbG4zJeLsUs1p,0.777,0.526,2.0,-6.221,1.0,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/tracks/07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/audio-analysis/07bsRv0pcpbG4zJeLsUs1p,194849.0,4.0
Yandel & Feid,Yandel 150,nan,,,,,,,,,,,,,,,,,,
The Weeknd & Ariana Grande,Save Your Tears,nan,,,,,,,,,,,,,,,,,,
Sam Smith & Kim Petras,Unholy,3bXRd0yVb5sw2WVblM5URR,0.719,0.454,2.0,-7.384,1.0,0.0707,0.0138,4.83e-06,0.318,0.224,131.007,audio_features,3bXRd0yVb5sw2WVblM5URR,spotify:track:3bXRd0yVb5sw2WVblM5URR,https://api.spotify.com/v1/tracks/3bXRd0yVb5sw2WVblM5URR,https://api.spotify.com/v1/audio-analysis/3bXRd0yVb5sw2WVblM5URR,156943.0,4.0
LE SSERAFIM Featuring Nile Rodgers,Unforgiven,nan,,,,,,,,,,,,,,,,,,
"Tyler, The Creator Featuring Kali Uchis",See You Again,nan,,,,,,,,,,,,,,,,,,
"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG,nan,,,,,,,,,,,,,,,,,,
Jimin,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,7.0,-5.445,1.0,0.0419,0.0025,0.0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241.0,4.0
Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360.0,4.0
Yahritza y Su Esencia x Grupo Frontera,Fragil,nan,,,,,,,,,,,,,,,,,,
Drake,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,10.0,-8.482,0.0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,audio_features,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113.0,4.0
Jisoo,Flower,69CrOS7vEHIrhC2ILyEi0s,0.841,0.384,9.0,-7.684,0.0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,audio_features,69CrOS7vEHIrhC2ILyEi0s,spotify:track:69CrOS7vEHIrhC2ILyEi0s,https://api.spotify.com/v1/tracks/69CrOS7vEHIrhC2ILyEi0s,https://api.spotify.com/v1/audio-analysis/69CrOS7vEHIrhC2ILyEi0s,173134.0,4.0
Miguel,Sure Thing,0JXXNGljqupsJaZsgSbMZV,0.684,0.607,11.0,-8.127,0.0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373.0,4.0
Post Malone,Chemical,5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,2.0,-4.907,1.0,0.045,0.00136,0.0,0.118,0.373,169.902,audio_features,5w40ZYhbBMAlHYNDaVJIUu,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/tracks/5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/audio-analysis/5w40ZYhbBMAlHYNDaVJIUu,184013.0,4.0
Calvin Harris & Ellie Goulding,Miracle,nan,,,,,,,,,,,,,,,,,,
Toosii,Favorite Song,1SRw5p2lVAi7RGlHEmZg66,0.816,0.367,2.0,-9.354,1.0,0.0588,0.314,0.0,0.0987,0.413,116.035,audio_features,1SRw5p2lVAi7RGlHEmZg66,spotify:track:1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/tracks/1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/audio-analysis/1SRw5p2lVAi7RGlHEmZg66,208630.0,4.0
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040.0,4.0
Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427.0,4.0
IVE,I Am,70t7Q6AYG6ZgTYmJWcnkUM,0.683,0.875,4.0,-4.866,0.0,0.0549,0.0115,0.0,0.084,0.384,122.002,audio_features,70t7Q6AYG6ZgTYmJWcnkUM,spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,https://api.spotify.com/v1/tracks/70t7Q6AYG6ZgTYmJWcnkUM,https://api.spotify.com/v1/audio-analysis/70t7Q6AYG6ZgTYmJWcnkUM,183853.0,4.0
RAYE Featuring 070 Shake,Escapism,nan,,,,,,,,,,,,,,,,,,
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400.0,3.0
Zach Bryan,Something In The Orange,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4.0,-12.151,0.0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013.0,3.0
Coi Leray,Players,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6.0,-5.817,1.0,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560.0,4.0
Bizarrap & Shakira,"Bzrp Music Sessions, Vol. 53",nan,,,,,,,,,,,,,,,,,,
